Gene_name	p_value	fold_change
PSME1	3.65650571295392e-07	0.87306625
TAPBP	2.74599180279691e-06	1.22649325
TAP2	9.18988197663992e-06	1.64508325
NXN	1.11281755697903e-05	-1.12060675
LAP3	2.92771036641232e-05	0.65445425
PSMB5	4.33795183052099e-05	-0.92944175
TAP1	4.4001212177032e-05	1.06082825
CD74	6.97884309496352e-05	1.56318625
MVP	0.00010213966023211	1.16798825
PARN	0.000110279956393678	0.53860525
HLA-C	0.000134141963944708	1.37234325
BCAP29	0.000154744586996658	0.665961
MED20	0.000190513823241152	-0.50995575
UBE2J1	0.000243700937341541	0.65250925
IFIT1	0.000381130565581074	0.84150825
ZNF512	0.000382154799624333	-0.73123525
NUB1	0.000477862964433119	0.65924625
HLA-B	0.000578676231959037	1.24696825
GBP1	0.000718290205970369	1.03351825
ERAP1	0.000779162066242794	0.73690825
COMMD8	0.000875223210142435	0.63216425
SP100	0.00087827622335394	0.80743925
RBM42	0.000940248071000041	-0.66320595
HINT2	0.000979540404060592	0.73040825
DNMT3A	0.00106200082952081	-1.93988775
ZC3HAV1	0.00110299092056603	0.34358975
PSMB10	0.00120596119087212	1.19995825
APOL2	0.00137614865776398	1.28130325
SNRPD2	0.00143215881977134	-0.5406005
TMX4	0.00180930542339969	0.57893725
PSMB9	0.00207691488771013	0.93641325
SAE1	0.00214303767492652	-0.65433475
PSME2	0.00218138656441744	0.63651225
OAS3	0.00225889711202713	0.62194625
ISG20	0.00227460105888182	0.87720475
IFI30	0.00295996725329359	0.89452325
MAGEC2	0.00296297794646226	0.95308825
PARP4	0.00310005023125641	0.94230425
COIL	0.00311538929075487	-0.61868625
VPS13C	0.00319148426324466	0.40899525
TRIM28	0.0033958094977603	-0.41388175
OTUD4	0.00359534076382289	0.47479375
RNH1	0.00369368028789852	0.34195425
PAF1	0.0039949959513995	-0.75211875
HLA-DMB	0.00417242423497113	1.37147325
SEC11C	0.00423592926477137	0.77562825
UBXN7	0.00434156227129286	-0.43301675
ISG15	0.00434624042737468	0.63351825
TPRKB	0.00445254906305827	0.57179325
DIMT1	0.00467720954377589	-0.74080175
TP53RK	0.00470015230952606	0.48006075
MX1	0.00488597366301783	0.86644245
NFKB2	0.00490218078100317	0.511827
CNOT2	0.0049481147920478	-0.29538125
STAU1	0.00506060074004265	-0.27770925
